Time	Ch 0
[s]	[V]
0.016460	2.271233
0.016480	2.473165
0.016500	2.668848
0.016520	2.854994
0.016540	3.023709
0.016560	3.187491
0.016580	3.334830
0.016600	3.470328
0.016620	3.599249
0.016640	3.694295
0.016660	3.780462
0.016680	3.838016
0.016700	3.901819
0.016720	3.934707
0.016740	3.952466
0.016760	3.961675
0.016780	3.943586
0.016800	3.912343
0.016820	3.867286
0.016840	3.795261
0.016860	3.723895
0.016880	3.629835
0.016900	3.516700
0.016920	3.389752
0.016940	3.251623
0.016960	3.099680
0.016980	2.936556
0.017000	2.756330
0.017020	2.572815
0.017040	2.377461
0.017060	2.171911
0.017080	1.960442
0.017100	1.742066
0.017120	1.525663
0.017140	1.302026
0.017160	1.069508
0.017180	0.844555
0.017200	0.611709
0.017220	0.379520
0.017240	0.153909
0.017260	-0.070057
0.017280	-0.281526
0.017300	-0.487404
0.017320	-0.690651
0.017340	-0.880414
0.017360	-1.068204
0.017380	-1.244812
0.017400	-1.401358
0.017420	-1.554287
0.017440	-1.685838
0.017460	-1.812785
0.017480	-1.916053
0.017500	-2.006824
0.017520	-2.079177
0.017540	-2.146268
0.017560	-2.188365
0.017580	-2.215004
0.017600	-2.227501
0.017620	-2.216648
0.017640	-2.194284
0.017660	-2.157121
0.017680	-2.095292
0.017700	-2.031161
0.017720	-1.939732
0.017740	-1.835807
0.017760	-1.717739
0.017780	-1.579939
0.017800	-1.436219
0.017820	-1.282633
0.017840	-1.115234
0.017860	-0.936653
0.017880	-0.747547
0.017900	-0.550220
0.017920	-0.347631
0.017940	-0.139779
0.017960	0.076294
0.017980	0.300260
0.018000	0.522582
0.018020	0.741945
0.018040	0.965911
0.018060	1.184945
0.018080	1.407267
0.018100	1.622354
0.018120	1.829219
0.018140	2.031809
0.018160	2.225190
0.018180	2.416926
0.018200	2.589917
0.018220	2.750081
0.018240	2.904984
0.018260	3.047717
0.018280	3.176967
0.018300	3.294706
0.018320	3.395343
0.018340	3.483483
0.018360	3.542682
0.018380	3.609444
0.018400	3.638715
0.018420	3.656145
0.018440	3.673247
0.018460	3.649239
0.018480	3.616351
0.018500	3.577543
0.018520	3.506834
0.018540	3.430205
0.018560	3.334172
0.018580	3.227944
0.018600	3.101983
0.018620	2.960235
0.018640	2.815857
0.018660	2.642867
0.018680	2.476782
0.018700	2.288663
0.018720	2.084100
0.018740	1.888088
0.018760	1.669713
0.018780	1.454954
0.018800	1.237236
0.018820	1.008666
0.018840	0.781410
0.018860	0.555141
0.018880	0.319335
0.018900	0.096027
0.018920	-0.129913
0.018940	-0.357497
0.018960	-0.566993
0.018980	-0.775831
0.019000	-0.978420
0.019020	-1.169499
0.019040	-1.359919
0.019060	-1.525345
0.019080	-1.690771
0.019100	-1.844686
0.019120	-1.977882
0.019140	-2.106145
0.019160	-2.206453
0.019180	-2.309063
0.019200	-2.371879
0.019220	-2.437326
0.019240	-2.483698
0.019260	-2.504746
0.019280	-2.527110
0.019300	-2.509679
0.019320	-2.488960
0.019340	-2.454427
0.019360	-2.388981
0.019380	-2.328467
0.019400	-2.235723
0.019420	-2.136731
0.019440	-2.018334
0.019460	-1.888427
0.019480	-1.740761
0.019500	-1.582570
0.019520	-1.415500
0.019540	-1.235932
0.019560	-1.040249
0.019580	-0.849829
0.019600	-0.648555
0.019620	-0.435770
0.019640	-0.224301
0.019660	-0.000993
0.019680	0.212779
0.019700	0.438389
0.019720	0.664000
0.019740	0.882376
0.019760	1.106343
0.019780	1.316496
0.019800	1.526650
0.019820	1.727266
0.019840	1.921634
0.019860	2.108766
0.019880	2.286361
0.019900	2.455076
0.019920	2.604388
0.019940	2.753699
0.019960	2.879989
0.019980	2.998057
0.020000	3.100338
0.020020	3.187491
0.020040	3.246690
0.020060	3.308190
0.020080	3.341078
0.020100	3.362784
0.020120	3.370677
0.020140	3.355549
0.020160	3.327923
0.020180	3.280893
0.020200	3.214788
0.020220	3.134542
0.020240	3.043771
0.020260	2.931952
0.020280	2.810924
0.020300	2.668190
0.020320	2.519537
0.020340	2.356741
0.020360	2.182435
0.020380	1.999578
0.020400	1.799620
0.020420	1.595715
0.020440	1.388192
0.020460	1.170145
0.020480	0.941903
0.020500	0.718594
0.020520	0.492983
0.020540	0.264084
0.020560	0.033211
0.020580	-0.195360
0.020600	-0.420313
0.020620	-0.644937
0.020640	-0.860024
0.020660	-1.070835
0.020680	-1.272767
0.020700	-1.463516
0.020720	-1.651635
0.020740	-1.821665
0.020760	-1.980184
0.020780	-2.130811
0.020800	-2.273215
